location,lat,long,alt,year,cultivar,bloom_date (:Date),bloom_doy (d)
okcheon,,,,1997,Campbell Early,1997-06-01,152
okcheon,,,,1998,Campbell Early,1998-05-25,145
okcheon,,,,1999,Campbell Early,1999-05-26,146
okcheon,,,,2000,Campbell Early,2000-05-30,151
okcheon,,,,2001,Campbell Early,2001-05-20,140
okcheon,,,,2002,Campbell Early,2002-05-20,140
okcheon,,,,2003,Campbell Early,2003-05-27,147
okcheon,,,,2004,Campbell Early,2004-05-25,146
okcheon,,,,2005,Campbell Early,2005-05-28,148
okcheon,,,,2006,Campbell Early,2006-06-01,152
okcheon,,,,2007,Campbell Early,2007-06-01,152
okcheon,,,,2008,Campbell Early,2008-05-26,147
okcheon,,,,2013,Campbell Early,2013-05-29,149
okcheon,,,,2015,Campbell Early,2015-05-24,144
okcheon,,,,2016,Campbell Early,2016-05-23,144
okcheon,,,,2017,Campbell Early,2017-05-22,142
okcheon,,,,2018,Campbell Early,2018-05-19,139
okcheon,,,,2019,Campbell Early,2019-05-26,146
okcheon,,,,2020,Campbell Early,2020-05-29,150
okcheon,,,,2021,Campbell Early,2021-05-28,148
okcheon,,,,2022,Campbell Early,2022-05-20,140
okcheon,,,,2023,Campbell Early,2023-05-19,139
okcheon,,,,2024,Campbell Early,2024-05-14,135
